doi;coo_authors;num_authors;num_citation;num_institution;date;
10.1038/S41746-022-00708-4;Kristine Zhang, Henry Wang, Jianzhun Du, Brian Chu, Aldo Arévalo, Ryan Kindle, Leo Anthony Celi, Finale Doshi-Velez,;8;0;4;2022-12-01;
10.1145/3514094.3534198;Harvineet Singh, Shalmali Joshi, Finale Doshi-Velez, Himabindu Lakkaraju,;4;0;2;2022-07-26;
10.1162/COLI_A_00399;Lifeng Jin, Lane Schwartz, Finale Doshi-Velez, Timothy A. Miller, William Schuler,;5;4;4;2021-04-21;
10.1613/JAIR.1.12558;Mike Wu, Sonali Parbhoo, Michael C. Hughes, Volker Roth 0001, Finale Doshi-Velez,;5;3;4;2021-01-01;
10.1145/3411764.3445385;Maia Jacobs, Jeffrey He, Melanie F. Pradier, Barbara Lam, Andrew C. Ahn, Thomas H. McCoy, Roy H. Perlis, Finale Doshi-Velez, Krzysztof Z. Gajos,;9;11;7;2022-12-01;
10.1145/3411764.3445296;Andrew Slavin Ross, Nina Chen, Elisa Zhao Hang, Elena L. Glassman, Finale Doshi-Velez,;5;0;2;2022-11-05;
10.1109/VAHC53616.2021.00007;Tianyi Zhang 0001, Thomas H. McCoy, Roy H. Perlis, Finale Doshi-Velez, Elena L. Glassman,;5;1;3;2021-01-01;
10.1145/3368555.3384450;Niranjani Prasad, Barbara E. Engelhardt, Finale Doshi-Velez,;3;0;2;2020-02-04;
10.1007/978-3-030-66888-4_5;Han-Ching Ou, Kai Wang 0040, Finale Doshi-Velez, Milind Tambe,;4;0;1;2021-01-01;
10.1007/S10458-019-09418-W;Ofra Amir, Finale Doshi-Velez, David Sarne,;3;17;3;2019-09-01;
10.1002/SAM.11415;Angela Fan, Finale Doshi-Velez, Luke Miratrix,;3;6;1;2019-06-01;
10.18653/V1/P19-1234;Lifeng Jin, Finale Doshi-Velez, Timothy A. Miller, Lane Schwartz, William Schuler,;5;4;4;2021-04-21;
10.24963/IJCAI.2019/194;Isaac Lage, Daphna Lifschitz, Finale Doshi-Velez, Ofra Amir,;4;10;5;2022-04-04;
10.24963/IJCAI.2019/819;Donghun Lee, Srivatsan Srinivasan, Finale Doshi-Velez,;3;5;1;2019-01-01;
10.24963/IJCAI.2019/821;Muhammad A. Masood, Finale Doshi-Velez,;2;4;3;2019-01-01;
10.1145/3511265.3550446;A. Feder Cooper, Jonathan Frankle, Christopher De Sa,;3;0;2;2022-11-01;
10.1109/CVPR46437.2021.01604;Tianlong Chen, Jonathan Frankle, Shiyu Chang, Sijia Liu 0001, Yang Zhang 0001, Michael Carbin, Zhangyang Wang,;7;20;4;2021-01-01;
10.1145/2837614.2837629;Jonathan Frankle, Peter-Michael Osera, David Walker, Steve Zdancewic,;4;0;1;2023-01-09;
10.1016/J.IPM.2021.102856;Tuukka Ruotsalo, Sean Weber, Krzysztof Z. Gajos,;3;1;3;2022-03-01;
10.1145/3491102.3517587;Zilin Ma, Krzysztof Z. Gajos,;2;0;1;2022-04-29;
10.1145/3490099.3511138;Krzysztof Z. Gajos, Lena Mamykina,;2;3;2;2022-03-22;
10.1145/3449287;Zana Buçinca, Maja Barbara Malaya, Krzysztof Z. Gajos,;3;47;2;2021-04-22;
10.1145/3411764.3445507;Fritz Lekschas, Spyridon Ampanavos, Pao Siangliulue, Hanspeter Pfister, Krzysztof Z. Gajos,;5;1;1;2021-05-06;
10.1145/3377811.3380366;Jingmei Hu, Jiwon Joung, Maia Jacobs, Krzysztof Z. Gajos, Margo I. Seltzer,;5;2;3;2022-10-03;
10.1145/3377812.3390912;Jingmei Hu, Jiwon Joung, Maia Jacobs, Krzysztof Z. Gajos, Margo I. Seltzer,;5;0;3;2020-10-01;
10.1145/3401335.3401814;Vineet Pandey, Krzysztof Z. Gajos, Anoopum S. Gupta,;3;2;2;2020-06-21;
10.1145/3377325.3377523;Kenneth C. Arnold, Krysta Chauncey, Krzysztof Z. Gajos,;3;1;1;2022-09-04;
10.1145/3377325.3377498;Zana Buçinca, Phoebe Lin, Krzysztof Z. Gajos, Elena L. Glassman,;4;7;3;2022-08-01;
10.1016/J.ARTINT.2019.05.005;Ofra Amir, Barbara J. Grosz, Krzysztof Z. Gajos, Limor Gultchin,;4;1;2;2022-01-01;
10.1145/3359132;Bernd Huber, Stuart M. Shieber, Krzysztof Z. Gajos,;3;5;1;2019-11-01;
10.1145/3359261;Maia Jacobs, Galina Gheihman, Krzysztof Z. Gajos, Anoopum S. Gupta,;4;10;3;2019-11-01;
10.1145/3290605.3300309;Nam Wook Kim, Hyejin Im, Nathalie Henry Riche, Alicia Wang, Krzysztof Gajos, Hanspeter Pfister,;6;1;1;2022-11-11;
10.1145/3329189.3329203;Bernd Huber, Richard F. Davis III, Allison Cotter, Emily Junkin, Mindy Yard, Stuart M. Shieber, Elizabeth Brestan-Knight, Krzysztof Z. Gajos,;8;7;3;2019-05-20;
10.1145/3148051;Jacob O. Wobbrock, Krzysztof Z. Gajos, Shaun K. Kane, Gregg C. Vanderheiden,;4;65;4;2018-01-01;
10.1109/TLT.2018.2810197;Martina M. Moyne, Maxwell Herman, Krzysztof Z. Gajos, Conor J. Walsh, Donal P. Holland,;5;5;3;2018-10-01;
10.1145/3234695.3236360;Qisheng Li, Krzysztof Z. Gajos, Katharina Reinecke,;3;11;2;2018-10-08;
10.1145/3209811.3209871;Lahiru G. Jayatilaka, David M. Sengeh, Charles Herrmann, Luca F. Bertuccelli, Dimitrios Antos, Barbara J. Grosz, Krzysztof Z. Gajos,;7;1;6;2018-06-20;
10.1145/3131275;Nam Wook Kim, Zoya Bylinskii, Michelle A. Borkin, Krzysztof Z. Gajos, Aude Oliva, Frédo Durand, Hanspeter Pfister,;7;52;3;2017-10-01;
10.1145/3059454.3059455;Joel Chan, Pao Siangliulue, Denisa Qori McDonald, Ruixue Liu, Reza Moradinezhad, Safa Aman, Erin Treacy Solovey, Krzysztof Z. Gajos, Steven P. Dow,;9;0;2;2023-03-01;
10.1145/3025453.3025874;Marissa Burgermaster, Krzysztof Z. Gajos, Patricia G. Davidson, Lena Mamykina,;4;3;2;2022-03-22;
10.1145/3025453.3025553;Bernd Huber, Katharina Reinecke, Krzysztof Z. Gajos,;3;3;2;2022-03-22;
10.1145/2998181.2998197;Edith Law, Krzysztof Z. Gajos, Andrea Wiggins, Mary L. Gray, Alex C. Williams,;5;0;1;2022-04-29;
10.1145/3022198.3023267;Nigini Oliveira, Eunice Jun, Trevor Croxson, Krzysztof Z. Gajos, Katharina Reinecke,;5;1;2;2017-02-25;
10.1145/2909824.3020211;Serena Booth, James Tompkin 0001, Hanspeter Pfister, Jim Waldo, Krzysztof Gajos, Radhika Nagpal,;6;52;2;2017-03-06;
10.1145/3025171.3025192;Krzysztof Z. Gajos, Krysta Chauncey,;2;3;2;2022-03-22;
