doi;coo_authors;year
10.1109/FOCS52979.2021.00072;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau;2021
;Sitan Chen, Xiaoxiao Li, Zhao Song 0002, Danyang Zhuo;2021
;Sitan Chen, Adam R. Klivans, Raghu Meka;2021
10.1145/3406325.3451078;Sitan Chen, Ankur Moitra;2021
;Sitan Chen, Zhao Song 0002, Runzhou Tao, Ruizhe Zhang 0001;2021
;Sitan Chen, Jerry Li 0001, Ryan O Donnell;2021
;Sitan Chen, Adam R. Klivans, Raghu Meka;2021
;Sitan Chen, Jordan Cotler, Hsin-Yuan Huang, Jerry Li 0001;2021
;Sitan Chen, Jordan Cotler, Hsin-Yuan Huang, Jerry Li 0001;2021
;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau;2021
;Hsin-Yuan Huang, Michael Broughton, Jordan Cotler, Sitan Chen, Jerry Li 0001, Masoud Mohseni, Hartmut Neven, Ryan Babbush, Richard Kueng, John Preskill, Jarrod R. McClean;2021
;Sitan Chen, Raghu Meka;2020
10.1109/FOCS46700.2020.00070;Sébastien Bubeck, Sitan Chen, Jerry Li 0001;2020
;Sitan Chen, Jerry Li 0001, Ankur Moitra;2020
;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau;2020
10.1145/3357713.3384337;Sitan Chen, Jerry Li 0001, Ankur Moitra;2020
10.1145/3357713.3384333;Sitan Chen, Jerry Li 0001, Zhao Song 0002;2020
;Sitan Chen, Jerry Li 0001, Ankur Moitra;2020
;Sitan Chen, Ankur Moitra;2020
;Sébastien Bubeck, Sitan Chen, Jerry Li 0001;2020
;Sitan Chen, Raghu Meka;2020
;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau;2020
;Sitan Chen, Adam R. Klivans, Raghu Meka;2020
;Sitan Chen, Frederic Koehler, Ankur Moitra, Morris Yau;2020
;Sitan Chen, Zhao Song 0002, Danyang Zhuo;2020
10.1137/1.9781611975482.134;Sitan Chen, Michelle Delcourt, Ankur Moitra, Guillem Perarnau, Luke Postle;2019
10.1145/3313276.3316375;Sitan Chen, Ankur Moitra;2019
;Sitan Chen, Jerry Li 0001, Ankur Moitra;2019
;Sitan Chen, Jerry Li 0001, Zhao Song 0002;2019
;Sitan Chen, Ankur Moitra;2018
;Sitan Chen, Ankur Moitra;2018
;Sitan Chen, Michelle Delcourt, Ankur Moitra, Guillem Perarnau, Luke Postle;2018
10.1145/2897518.2897546;Sitan Chen;2016
;Sitan Chen;2015
;Sitan Chen, Thomas Steinke 0002, Salil P. Vadhan;2015
;Sitan Chen;2014
10.1109/ICSSI.2013.55;Mei-Ting Jou, Yu-Pei Chen, Thai Dao, Ting-Jun Chen, Yi-Ling Chen;2013
10.1007/11731139_80;Wei-Ta Chen, Yi-Ling Chen, Ming-Syan Chen;2006
