doi;coo_authors;year
;Michael T. Goodrich, Evgenios M. Kornaropoulos, Michael Mitzenmacher, Roberto Tamassia;2016
10.1145/2785956.2787503;Dong Zhou, Bin Fan, Hyeontaek Lim, David G. Andersen, Michael Kaminsky, Michael Mitzenmacher, Ren Wang 0001, Ajaypal Singh;2015
10.1145/2674005.2674994;Bin Fan, David G. Andersen, Michael Kaminsky, Michael Mitzenmacher;2014
10.1007/978-3-319-07959-2_14;David Eppstein, Michael T. Goodrich, Michael Mitzenmacher, Pawel Pszona;2014
;David Eppstein, Michael T. Goodrich, Michael Mitzenmacher, Pawel Pszona;2014
10.1007/S00453-013-9770-7;Elaine Angelino, Michael T. Goodrich, Michael Mitzenmacher, Justin Thaler;2013
10.1145/2133601.2133604;Michael T. Goodrich, Michael Mitzenmacher, Olga Ohrimenko, Roberto Tamassia;2012
10.1007/978-3-642-31585-5_49;Michael T. Goodrich, Michael Mitzenmacher;2012
10.1007/978-3-642-34862-4_15;Michael T. Goodrich, Daniel S. Hirschberg, Michael Mitzenmacher, Justin Thaler;2012
10.1137/1.9781611973099.14;Michael T. Goodrich, Michael Mitzenmacher, Olga Ohrimenko, Roberto Tamassia;2012
;Michael T. Goodrich, Michael Mitzenmacher;2012
10.1016/J.COMNET.2011.01.020;Marios Iliofotou, Hyunchul Kim, Michalis Faloutsos, Michael Mitzenmacher, Prashanth Pappu, George Varghese;2011
10.1109/ALLERTON.2011.6120248;Michael T. Goodrich, Michael Mitzenmacher;2011
10.1145/2046660.2046680;Michael T. Goodrich, Michael Mitzenmacher, Olga Ohrimenko, Roberto Tamassia;2011
10.1007/978-3-642-23719-5_52;Martin Dietzfelbinger, Michael Mitzenmacher, Michael Rink 0001;2011
10.1007/978-3-642-22012-8_46;Michael T. Goodrich, Michael Mitzenmacher;2011
10.1007/978-3-642-25591-5_40;Elaine Angelino, Michael T. Goodrich, Michael Mitzenmacher, Justin Thaler;2011
10.1145/1989493.1989532;Michael T. Goodrich, Michael Mitzenmacher;2011
;Michael T. Goodrich, Michael Mitzenmacher;2011
;Martin Dietzfelbinger, Michael Mitzenmacher, Michael Rink 0001;2011
;Elaine Angelino, Michael T. Goodrich, Michael Mitzenmacher, Justin Thaler;2011
;John W. Byers, Michael Mitzenmacher, Michalis Potamias, Georgios Zervas;2011
;Michael T. Goodrich, Michael Mitzenmacher, Olga Ohrimenko, Roberto Tamassia;2011
;Michael T. Goodrich, Daniel S. Hirschberg, Michael Mitzenmacher, Justin Thaler;2011
;Michael T. Goodrich, Michael Mitzenmacher, Olga Ohrimenko, Roberto Tamassia;2011
;Michael T. Goodrich, Michael Mitzenmacher, Olga Ohrimenko, Roberto Tamassia;2011
10.1007/978-3-642-14165-2_19;Martin Dietzfelbinger, Andreas Goerdt, Michael Mitzenmacher, Andrea Montanari, Rasmus Pagh, Michael Rink 0001;2010
;Michael T. Goodrich, Michael Mitzenmacher;2010
10.1145/1658939.1658967;Marios Iliofotou, Michalis Faloutsos, Michael Mitzenmacher;2009
;Martin Dietzfelbinger, Andreas Goerdt, Michael Mitzenmacher, Andrea Montanari, Rasmus Pagh, Michael Rink 0001;2009
10.1145/1298306.1298349;Marios Iliofotou, Prashanth Pappu, Michalis Faloutsos, Michael Mitzenmacher, Sumeet Singh, George Varghese;2007
10.48550/ARXIV.2302.08545;Minghao Li, Ran Ben Basat, Shay Vargaftik, ChonLam Lao, Kevin Xu, Xinran Tang, Michael Mitzenmacher, Minlan Yu;2023
10.1145/3528087;Michael Mitzenmacher, Sergei Vassilvitskii;2022
;Ibrahim Sabek, Kapil Vaidya, Dominik Horn, Andreas Kipf, Michael Mitzenmacher, Tim Kraska;2022
;Kapil Vaidya, Tim Kraska, Subarna Chatterjee, Eric R. Knorr, Michael Mitzenmacher, Stratos Idreos;2022
10.1109/TPDS.2022.3146195;Michael Mitzenmacher, Matteo Dell Amico;2022
;Shay Vargaftik, Ran Ben Basat, Amit Portnoy, Gal Mendelson, Yaniv Ben-Itzhak, Michael Mitzenmacher;2022
10.4230/LIPICS.ITCS.2022.114;Ziv Scully, Isaac Grosof, Michael Mitzenmacher;2022
10.1007/978-3-031-26390-3_1;Tianyi Chen, Brian Matejek, Michael Mitzenmacher, Charalampos E. Tsourakakis;2022
10.1145/3514221.3526167;Eric R. Knorr, Baptiste Lemaire, Andrew Lim, Siqiang Luo, Huanchen Zhang, Stratos Idreos, Michael Mitzenmacher;2022
;Jonatan Langlet, Ran Ben Basat, Sivaramakrishnan Ramanathan, Gabriele Oliaro, Michael Mitzenmacher, Minlan Yu, Gianni Antichi;2022
;Isaac Grosof, Michael Mitzenmacher;2022
10.48550/ARXIV.2204.14138;Wenchen Han, Vic Feng, Gregory Schwartzman, Michael Mitzenmacher, Minlan Yu, Ran Ben-Basat;2022
10.48550/ARXIV.2205.13341;Ran Ben Basat, Shay Vargaftik, Amit Portnoy, Gil Einziger, Yaniv Ben-Itzhak, Michael Mitzenmacher;2022
10.48550/ARXIV.2207.01503;Eric R. Knorr, Baptiste Lemaire, Andrew Lim, Siqiang Luo, Huanchen Zhang, Stratos Idreos, Michael Mitzenmacher;2022
10.1137/1.9781611976830.1;Michael Mitzenmacher;2021
10.1145/3484266.3487366;Jonatan Langlet, Ran Ben-Basat, Sivaramakrishnan Ramanathan, Gabriele Oliaro, Michael Mitzenmacher, Minlan Yu, Gianni Antichi;2021
10.4230/LIPICS.ICALP.2021.25;Ran Ben Basat, Michael Mitzenmacher, Shay Vargaftik;2021
10.1109/ICDE51399.2021.00080;Ran Ben Basat, Gil Einziger, Michael Mitzenmacher, Shay Vargaftik;2021
;Kapil Vaidya, Eric Knorr, Michael Mitzenmacher, Tim Kraska;2021
;Elbert Du, Franklyn Wang, Michael Mitzenmacher;2021
;Shay Vargaftik, Ran Ben-Basat, Amit Portnoy, Gal Mendelson, Yaniv Ben-Itzhak, Michael Mitzenmacher;2021
10.1137/1.9781611976465.115;Michael Mitzenmacher, Saeed Seddighin;2021
;Michael Mitzenmacher, Saeed Seddighin;2021
;Ran Ben Basat, Gil Einziger, Michael Mitzenmacher, Shay Vargaftik;2021
;Shay Vargaftik, Ran Ben Basat, Amit Portnoy, Gal Mendelson, Yaniv Ben-Itzhak, Michael Mitzenmacher;2021
;Shay Vargaftik, Ran Ben Basat, Amit Portnoy, Gal Mendelson, Yaniv Ben-Itzhak, Michael Mitzenmacher;2021
;Ziv Scully, Isaac Grosof, Michael Mitzenmacher;2021
;Jonatan Langlet, Ran Ben Basat, Sivaramakrishnan Ramanathan, Gabriele Oliaro, Michael Mitzenmacher, Minlan Yu, Gianni Antichi;2021
10.1145/3339504;Michael Mitzenmacher, Salvatore Pontarelli, Pedro Reviriego;2020
;Hossein Esfandiari, MohammadTaghi Hajiaghayi, Brendan Lucier, Michael Mitzenmacher;2020
10.1145/3386367.3431303;Jan Kucera 0004, Ran Ben Basat, Mário Kuka, Gianni Antichi, Minlan Yu, Michael Mitzenmacher;2020
10.1145/3386367.3431674;Valerio Bruschi, Ran Ben Basat, Zaoxing Liu, Gianni Antichi, Giuseppe Bianchi 0001, Michael Mitzenmacher;2020
10.1109/INFOCOM41043.2020.9155340;Ran Ben Basat, Gil Einziger, Michael Mitzenmacher, Shay Vargaftik;2020
10.4230/LIPICS.ITCS.2020.14;Michael Mitzenmacher;2020
10.1109/ISIT44484.2020.9174310;Kasper Green Larsen, Michael Mitzenmacher, Charalampos E. Tsourakakis;2020
10.1109/ITA50056.2020.9244966;Kasper Green Larsen, Michael Mitzenmacher, Charalampos E. Tsourakakis;2020
10.1145/3387514.3405894;Ran Ben Basat, Sivaramakrishnan Ramanathan, Yuliang Li, Gianni Antichi, Minlan Yu, Michael Mitzenmacher;2020
10.1145/3357713.3384240;Michael Mitzenmacher, Saeed Seddighin;2020
10.1145/3366423.3380045;Kasper Green Larsen, Michael Mitzenmacher, Charalampos E. Tsourakakis;2020
10.1017/9781108637435.033;Kai-Min Chung, Michael Mitzenmacher, Salil P. Vadhan;2020
10.1017/9781108637435.037;Michael Mitzenmacher, Sergei Vassilvitskii;2020
;Michael Mitzenmacher, Charalampos E. Tsourakakis;2020
;Ran Ben Basat, Gil Einziger, Michael Mitzenmacher, Shay Vargaftik;2020
;Kapil Vaidya, Eric Knorr, Tim Kraska, Michael Mitzenmacher;2020
;Michael Mitzenmacher, Sergei Vassilvitskii;2020
10.1007/S10994-010-5229-0;Susan M. Shortreed, Eric B. Laber, Daniel J. Lizotte, T. Scott Stroup, Joelle Pineau, Susan A. Murphy;2011
10.1016/J.EJOR.2022.01.046;Martin Cousineau, Vedat Verter, Susan A. Murphy, Joelle Pineau;2023
10.1109/ICDH55609.2022.00010;Dimitris Bertsimas, Predrag V. Klasnja, Susan A. Murphy, Liangyuan Na;2022
10.48550/ARXIV.2203.00097;Martin Cousineau, Vedat Verter, Susan A. Murphy, Joelle Pineau;2022
10.1007/S10994-021-05995-8;Sabina Tomkins, Peng Liao, Predrag V. Klasnja, Susan A. Murphy;2021
10.1145/3381007;Peng Liao, Kristjan H. Greenewald, Predrag V. Klasnja, Susan A. Murphy;2020
;Sabina Tomkins, Peng Liao, Predrag V. Klasnja, Serena Yeung, Susan A. Murphy;2020
;Marianne Menictas, Sabina Tomkins, Susan A. Murphy;2020
;Mashfiqui Rabbi, Meredith Philyaw-Kotov, Jinseok Li, Katherine Li, Bess Rothman, Lexa Giragosian, Maya Reyes, Hannah Gadway, Rebecca M. Cunningham, Erin Bonar, Inbal Nahum-Shani, Maureen A. Walton, Susan A. Murphy, Predrag V. Klasnja;2020
;Ashley E. Walton, Linda M. Collins, Predrag V. Klasnja, Inbal Nahum-Shani, Mashfiqui Rabbi, Maureen A. Walton, Susan A. Murphy;2020
;Sabina Tomkins, Peng Liao, Predrag V. Klasnja, Susan A. Murphy;2020
;Marianne Menictas, Sabina Tomkins, Susan A. Murphy;2020
10.1145/3369806;Mashfiqui Rabbi, Katherine Li, H. Yanna Yan, Kelly Hall, Predrag V. Klasnja, Susan A. Murphy;2019
10.1145/3341162.3343785;Tao Zhang, Geoff A. Jarrad, Susan A. Murphy, Niranjan Bidargaddi;2019
;Peng Liao, Kristjan H. Greenewald, Predrag V. Klasnja, Susan A. Murphy;2019
;Peng Liao, Predrag V. Klasnja, Susan A. Murphy;2019
10.1145/3287057;Peng Liao, Walter Dempsey, Hillol Sarker, Syed Monowar Hossain, Mustafa al Absi, Predrag V. Klasnja, Susan A. Murphy;2018
;Sabina Tomkins, Predrag V. Klasnja, Susan A. Murphy;2018
10.1109/MPRV.2017.29;Santosh Kumar 0001, Gregory D. Abowd, William T. Abraham, Mustafa al Absi, Duen Horng Chau, Emre Ertin, Deborah Estrin, Deepak Ganesan, Timothy Hnat, Syed Monowar Hossain, Zachary G. Ives, Jacqueline Kerr, Benjamin M. Marlin, Susan A. Murphy, James M. Rehg, Inbal Nahum-Shani, Vivek Shetty, Ida Sim, Bonnie Spring, Mani B. Srivastava, David W. Wetter;2017
10.1109/TCST.2016.2580661;Korkut Bekiroglu, Constantino Lagoa, Susan A. Murphy, Stephanie T. Lanza;2017
10.1145/3123024.3125611;Mashfiqui Rabbi, Meredith Philyaw-Kotov, Jinseok Lee, Anthony Mansour, Laura Dent, Xiaolei Wang, Rebecca M. Cunningham, Erin Bonar, Inbal Nahum-Shani, Predrag V. Klasnja, Maureen A. Walton, Susan A. Murphy;2017
10.1145/3123024.3125612;Blake Wagner III, Elaine Liu, Steven D. Shaw, Gleb Iakovlev, Linlu Zhou, Christina N. Harrington, Gregory D. Abowd, Carolyn Yoon, Santosh Kumar 0001, Susan A. Murphy, Bonnie Spring, Inbal Nahum-Shani;2017
;Walter H. Dempsey, Alexander Moreno, Christy K. Scott, Michael L. Dennis, David H. Gustafson, Susan A. Murphy, James M. Rehg;2017
;Kristjan H. Greenewald, Ambuj Tewari, Susan A. Murphy, Predrag V. Klasnja;2017
10.1007/978-3-319-51394-2_1;Santosh Kumar 0001, James M. Rehg, Susan A. Murphy;2017
10.1007/978-3-319-51394-2_8;Santosh Kumar 0001, James M. Rehg, Susan A. Murphy;2017
10.1007/978-3-319-51394-2_22;Susan A. Murphy, James M. Rehg, Santosh Kumar 0001;2017
10.1007/978-3-319-51394-2_17;James M. Rehg, Susan A. Murphy, Santosh Kumar 0001;2017
10.1007/978-3-319-51394-2_21;Hillol Sarker, Karen Hovsepian, Soujanya Chatterjee, Inbal Nahum-Shani, Susan A. Murphy, Bonnie Spring, Emre Ertin, Mustafa al Absi, Motohiro Nakajima, Santosh Kumar 0001;2017
10.1007/978-3-319-51394-2_4;Shawna N. Smith, Andy Jinseok Lee, Kelly Hall, Nicholas J. Seewald, Audrey Boruvka, Susan A. Murphy, Predrag V. Klasnja;2017
10.1007/978-3-319-51394-2_25;Ambuj Tewari, Susan A. Murphy;2017
10.1007/978-3-319-51394-2;James M. Rehg, Susan A. Murphy, Santosh Kumar 0001;2017
;Huitian Lei, Ambuj Tewari, Susan A. Murphy;2017
10.4230/DAGREP.7.11.130;Niko Beerenwinkel, Holger Fröhlich, Susan A. Murphy;2017
;Susan A. Murphy, Yanzhen Deng, Eric B. Laber, Hamid Reza Maei, Richard S. Sutton, Katie Witkiewitz;2016
10.1093/JAMIA/OCV056;Santosh Kumar 0001, Gregory D. Abowd, William T. Abraham, Mustafa al Absi, J. Gayle Beck, Duen Horng Chau, Tyson Condie, David E. Conroy, Emre Ertin, Deborah Estrin, Deepak Ganesan, Cho Lam, Benjamin M. Marlin, Clay B. Marsh, Susan A. Murphy, Inbal Nahum-Shani, Kevin Patrick, James M. Rehg, Moushumi Sharmin, Vivek Shetty, Ida Sim, Bonnie Spring, Mani B. Srivastava, David W. Wetter;2015
10.1109/ICMLA.2014.8;Kun Deng, Russ Greiner, Susan A. Murphy;2014
10.1007/S10479-012-1248-5;Raphael Fonteneau, Susan A. Murphy, Louis Wehenkel, Damien Ernst;2013
10.3166/RIA.27.171-194;Raphael Fonteneau, Susan A. Murphy, Louis Wehenkel, Damien Ernst;2013
;Daniel J. Lizotte, Michael Bowling, Susan A. Murphy;2013
10.1109/CDC.2013.6760421;Korkut Bekiroglu, Constantino M. Lagoa, Susan A. Murphy, Stephanie T. Lanza;2013
10.5555/2503308.2503346;Daniel J. Lizotte, Michael Bowling, Susan A. Murphy;2012
;Kun Deng, Joelle Pineau, Susan A. Murphy;2012
;Eric B. Laber, Susan A. Murphy;2012
10.3166/RIA.25.321-343;Raphael Fonteneau, Susan A. Murphy, Louis Wehenkel, Damien Ernst;2011
10.1109/ADPRL.2011.5967348;Kun Deng, Joelle Pineau, Susan A. Murphy;2011
10.1109/ADPRL.2011.5967364;Raphael Fonteneau, Susan A. Murphy, Louis Wehenkel, Damien Ernst;2011
;Kun Deng, Joelle Pineau, Susan A. Murphy;2011
;Raphael Fonteneau, Susan A. Murphy, Louis Wehenkel, Damien Ernst;2010
10.1007/978-3-642-19890-8_5;Raphael Fonteneau, Susan A. Murphy, Louis Wehenkel, Damien Ernst;2010
;Daniel J. Lizotte, Michael H. Bowling, Susan A. Murphy;2010
;Raphael Fonteneau, Susan A. Murphy, Louis Wehenkel, Damien Ernst;2010
10.1109/TSE.2018.2842188;Malvika Rao, David F. Bacon, David C. Parkes, Margo I. Seltzer;2020
10.1038/S41586-019-1138-Y;Iyad Rahwan, Manuel Cebrián, Nick Obradovich, Josh C. Bongard, Jean-François Bonnefon, Cynthia Breazeal, Jacob W. Crandall, Nicholas A. Christakis, Iain D. Couzin, Matthew O. Jackson, Nicholas R. Jennings, Ece Kamar, Isabel M. Kloumann, Hugo Larochelle, David Lazer, Richard McElreath, Alan Mislove, David C. Parkes, Alex  Sandy  Pentland, Margaret E. Roberts, Azim Shariff, Joshua B. Tenenbaum, Michael P. Wellman;2019
;Hossein Azari Soufiani, David Maxwell Chickering, Denis Xavier Charles, David C. Parkes;2014
;David F. Bacon, David C. Parkes, Yiling Chen 0001, Malvika Rao, Ian A. Kash, Manu Sridharan;2012
10.1145/1882362.1882365;David F. Bacon, Eric Bokelberg, Yiling Chen 0001, Ian A. Kash, David C. Parkes, Malvika Rao, Manu Sridharan;2010
10.1145/1435417.1435435;Joan Feigenbaum, David C. Parkes, David M. Pennock;2009
10.1145/1639950.1640066;David F. Bacon, Yiling Chen 0001, David C. Parkes, Malvika Rao;2009
;Sébastien Lahaie, David C. Parkes, David M. Pennock;2008
10.1145/3545945.3569751;Yaniv Yacoby, John Girash, David C. Parkes;2023
10.48550/ARXIV.2302.06607;Denizalp Goktas, David C. Parkes, Ian Gemp, Luke Marris, Georgios Piliouras, Romuald Elie, Guy Lever, Andrea Tacchetti;2023
10.48550/ARXIV.2302.14122;Manuel Wuthrich, Mark York, David C. Parkes;2023
10.1287/OPRE.2021.2178;Hongyao Ma, Fei Fang, David C. Parkes;2022
10.1145/3466617;Rediet Abebe, T.-H. Hubert Chan, Jon M. Kleinberg, Zhibin Liang, David C. Parkes, Mauro Sozio, Charalampos E. Tsourakakis;2022
;Mira Finkelstein, Lucy Liu, Yoav Kolumbus, David C. Parkes, Jeffrey S. Rosenshein, Sarah Keren;2022
10.1145/3533271.3561775;Zhou Fan, Francisco J. Marmolejo Cossío, Ben Altschuler, He Sun, Xintong Wang, David C. Parkes;2022
;Matthias Gerstgrasser, Rakshit Trivedi, David C. Parkes;2022
10.1093/OSO/9780198862536.003.0008;Rose E. Wang, Sarah A. Wu, James A. Evans, David C. Parkes, Joshua B. Tenenbaum, Max Kleiman-Weiner;2022
;Gianluca Brero, Nicolas Lepore, Eric Mibuari, David C. Parkes;2022
10.48550/ARXIV.2203.13395;Xintong Wang, Gary Qiurui Ma, Alon Eden, Clara Li, Alexander Trott, Stephan Zheng, David C. Parkes;2022
10.48550/ARXIV.2204.00464;Zhou Fan, Francisco J. Marmolejo Cossío, Ben Altschuler, He Sun, Xintong Wang, David C. Parkes;2022
10.48550/ARXIV.2206.01131;Jamelle Watson-Daniels, David C. Parkes, Berk Ustun;2022
10.48550/ARXIV.2208.12650;Yaniv Yacoby, John Girash, David C. Parkes;2022
10.48550/ARXIV.2209.12006;Mira Finkelstein, Lucy Liu, Nitsan Levy Schlot, Yoav Kolumbus, David C. Parkes, Jeffrey S. Rosenshein, Sarah Keren;2022
10.48550/ARXIV.2209.15569;Matheus V. X. Ferreira, David C. Parkes;2022
10.48550/ARXIV.2210.03852;Gianluca Brero, Alon Eden, Darshan Chakrabarti, Matthias Gerstgrasser, Vincent Li, David C. Parkes;2022
10.48550/ARXIV.2210.11942;Matthias Gerstgrasser, David C. Parkes;2022
10.48550/ARXIV.2211.03994;Zhun Deng, He Sun, Zhiwei Steven Wu, Linjun Zhang, David C. Parkes;2022
10.48550/ARXIV.2211.06318;Peter Stone, Rodney Brooks, Erik Brynjolfsson, Ryan Calo, Oren Etzioni, Greg Hager, Julia Hirschberg, Shivaram Kalyanakrishnan, Ece Kamar, Sarit Kraus, Kevin Leyton-Brown, David C. Parkes, William H. Press, AnnaLee Saxenian, Julie Shah, Milind Tambe, Astro Teller;2022
10.1145/3470442;Paul Dütting, Zhe Feng 0004, Harikrishna Narasimhan, David C. Parkes, Sai Srivatsa Ravindranath;2021
10.1038/S42256-021-00380-5;David C. Parkes;2021
10.1111/TOPS.12525;Sarah A. Wu, Rose E. Wang, James A. Evans, Joshua B. Tenenbaum, David C. Parkes, Max Kleiman-Weiner;2021
;Gianluca Brero, Alon Eden, Matthias Gerstgrasser, David C. Parkes, Duncan Rheingans-Yoo;2021
10.1145/3479722.3480991;Matheus V. X. Ferreira, Daniel J. Moroz, David C. Parkes, Mitchell Stern;2021
;Paul Tylkin, Goran Radanovic, David C. Parkes;2021
;Sophie Hilgard, Nir Rosenfeld, Mahzarin R. Banaji, Jack Cao, David C. Parkes;2021
10.4230/OASICS.TOKENOMICS.2021.6;Matheus V. X. Ferreira, Daniel J. Moroz, David C. Parkes, Mitchell Stern;2021
10.1007/978-3-030-94676-0_5;Vincent Conitzer, Zhe Feng 0004, David C. Parkes, Eric Sodomka;2021
;Michael Neuder, Daniel J. Moroz, Rithvik Rao, David C. Parkes;2021
;Matheus V. X. Ferreira, Daniel J. Moroz, David C. Parkes, Mitchell Stern;2021
;Michael Neuder, Rithvik Rao, Daniel J. Moroz, David C. Parkes;2021
;Sai Srivatsa Ravindranath, Zhe Feng 0004, Shira Li, Jonathan Ma, Scott Duke Kominers, David C. Parkes;2021
;Stephan Zheng, Alexander Trott, Sunil Srinivasa, David C. Parkes, Richard Socher;2021
10.1016/J.ARTINT.2020.103238;Nripsuta Ani Saxena, Karen Huang, Evan DeFilippis, Goran Radanovic, David C. Parkes, Yang Liu 0018;2020
10.1016/J.GEB.2020.09.001;Haris Aziz 0001, Hau Chan, Barton E. Lee, David C. Parkes;2020
10.1145/3440968.3440975;Hongyao Ma, Fei Fang, David C. Parkes;2020
10.1145/3381519;Arpit Agarwal, Debmalya Mandal, David C. Parkes, Nisarg Shah 0001;2020
;Debmalya Mandal, Goran Radanovic, David C. Parkes;2020
10.1145/3419614.3423265;Michael Neuder, Daniel J. Moroz, Rithvik Rao, David C. Parkes;2020
10.5555/3398761.3398985;Hau Chan, David C. Parkes, Karim R. Lakhani;2020
10.5555/3398761.3398857;Hongyao Ma, Reshef Meir, David C. Parkes, Elena Wu-Yan;2020
10.5555/3398761.3399065;Rose E. Wang, Sarah A. Wu, James A. Evans, Joshua B. Tenenbaum, David C. Parkes, Max Kleiman-Weiner;2020
;Sarah A. Wu, Rose E. Wang, James A. Evans, Josh Tenenbaum 0001, David C. Parkes, Max Kleiman-Weiner;2020
;Zhe Feng 0004, David C. Parkes, Haifeng Xu;2020
10.24963/KR.2020/55;Sarah Keren, Sara Bernardini, Kofi Kwapong, David C. Parkes;2020
;Nir Rosenfeld, Sophie Hilgard, Sai Srivatsa Ravindranath, David C. Parkes;2020
10.1145/3366423.3380180;Nir Rosenfeld, Aron Szanto, David C. Parkes;2020
;Nir Rosenfeld, Aron Szanto, David C. Parkes;2020
;Daniel J. Moroz, Daniel J. Aronoff, Neha Narula, David C. Parkes;2020
;Rose E. Wang, Sarah A. Wu, James A. Evans, Joshua B. Tenenbaum, David C. Parkes, Max Kleiman-Weiner;2020
;Stephan Zheng, Alexander Trott, Sunil Srinivasa, Nikhil Naik, Melvin Gruesbeck, David C. Parkes, Richard Socher;2020
;Nir Rosenfeld, Sophie Hilgard, Sai Srivatsa Ravindranath, David C. Parkes;2020
;Vincent Conitzer, Zhe Feng 0004, David C. Parkes, Eric Sodomka;2020
;Michael Neuder, Daniel J. Moroz, Rithvik Rao, David C. Parkes;2020
;He Sun, Zhun Deng, Hui Chen, David C. Parkes;2020
;Gianluca Brero, Alon Eden, Matthias Gerstgrasser, David C. Parkes, Duncan Rheingans-Yoo;2020
;Rediet Abebe, T.-H. Hubert Chan, Jon M. Kleinberg, Zhibin Liang, David C. Parkes, Mauro Sozio, Charalampos E. Tsourakakis;2020
;Ian T. Foster, David C. Parkes, Stephan Zheng;2020
10.1287/MOOR.2017.0920;Paul Dütting, Felix A. Fischer, David C. Parkes;2019
10.1609/AAAI.V33I01.3301509;Christos Dimitrakakis, Yang Liu 0018, David C. Parkes, Goran Radanovic;2019
10.1145/3306618.3314248;Nripsuta Ani Saxena, Karen Huang, Evan DeFilippis, Goran Radanovic, David C. Parkes, Yang Liu 0018;2019
;Hongyao Ma, Reshef Meir, David C. Parkes, James Y. Zou;2019
10.1145/3328526.3329556;Hongyao Ma, Fei Fang, David C. Parkes;2019
;Paul Duetting, Zhe Feng 0004, Harikrishna Narasimhan, David C. Parkes, Sai Srivatsa Ravindranath;2019
;Goran Radanovic, Rati Devidze, David C. Parkes, Adish Singla;2019
;Berk Ustun, Yang Liu 0018, David C. Parkes;2019
10.24963/IJCAI.2019/79;Duncan Rheingans-Yoo, Scott Duke Kominers, Hongyao Ma, David C. Parkes;2019
;Jack Serrino, Max Kleiman-Weiner, David C. Parkes, Josh Tenenbaum 0001;2019
;Haris Aziz 0001, Hau Chan, Barton E. Lee, David C. Parkes;2019
;Gregory D. Hager, Ann W. Drobnis, Fei Fang, Rayid Ghani, Amy Greenwald, Terah Lyons, David C. Parkes, Jason Schultz, Suchi Saria, Stephen F. Smith, Milind Tambe;2019
;Goran Radanovic, Rati Devidze, David C. Parkes, Adish Singla;2019
;Debmalya Mandal, David C. Parkes;2019
;Sophie Hilgard, Nir Rosenfeld, Mahzarin R. Banaji, Jack Cao, David C. Parkes;2019
;Duncan Rheingans-Yoo, Scott Duke Kominers, Hongyao Ma, David C. Parkes;2019
;Zhe Feng 0004, David C. Parkes, Haifeng Xu;2019
;Jack Serrino, Max Kleiman-Weiner, David C. Parkes, Joshua B. Tenenbaum;2019
;Hongyao Ma, Reshef Meir, David C. Parkes, Elena Wu-Yan;2019
;David C. Parkes, Rakesh V. Vohra, et al.;2019
;Michael Neuder, Daniel J. Moroz, Rithvik Rao, David C. Parkes;2019
10.1145/3150213;David C. Parkes;2018
;Zhe Feng 0004, Harikrishna Narasimhan, David C. Parkes;2018
;Reshef Meir, David C. Parkes;2018
10.24963/IJCAI.2018/36;Noah Golowich, Harikrishna Narasimhan, David C. Parkes;2018
10.1145/3219819.3219983;Rediet Abebe, Jon M. Kleinberg, David C. Parkes, Charalampos E. Tsourakakis;2018
10.1145/3219819.3220067;Jean Pouget-Abadie, Vahab S. Mirrokni, David C. Parkes, Edoardo M. Airoldi;2018
10.48550/ARXIV.2301.11375;Jacob A. Zavatone-Veth, Sheng Yang, Julian A. Rubinfien, Cengiz Pehlevan;2023
10.48550/ARXIV.2303.00564;Jacob A. Zavatone-Veth, Cengiz Pehlevan;2023
10.1007/S00422-022-00943-8;David Lipshutz, Cengiz Pehlevan, Dmitri B. Chklovskii;2022
10.1162/NECO_A_01494;Jacob A. Zavatone-Veth, Cengiz Pehlevan;2022
10.1109/ALLERTON49937.2022.9929375;Abdulkadir Canatar, Cengiz Pehlevan;2022
;Alexander Atanasov, Blake Bordelon, Cengiz Pehlevan;2022
;Blake Bordelon, Cengiz Pehlevan;2022
;Matthew Farrell, Blake Bordelon, Shubhendu Trivedi, Cengiz Pehlevan;2022
;Jacob A. Zavatone-Veth, Cengiz Pehlevan;2022
10.48550/ARXIV.2203.00573;Jacob A. Zavatone-Veth, William L. Tong, Cengiz Pehlevan;2022
10.48550/ARXIV.2205.09653;Blake Bordelon, Cengiz Pehlevan;2022
10.48550/ARXIV.2206.06686;Abdulkadir Canatar, Evan Peters, Cengiz Pehlevan, Stefan M. Wild, Ruslan Shaydulin;2022
10.48550/ARXIV.2209.10634;David Lipshutz, Cengiz Pehlevan, Dmitri B. Chklovskii;2022
10.48550/ARXIV.2209.12894;Bariscan Bozkurt, Cengiz Pehlevan, Alper T. Erdogan;2022
10.48550/ARXIV.2210.02157;Blake Bordelon, Cengiz Pehlevan;2022
10.48550/ARXIV.2210.04222;Bariscan Bozkurt, Ates Isfendiyaroglu, Cengiz Pehlevan, Alper T. Erdogan;2022
10.48550/ARXIV.2212.12147;Alexander Atanasov, Blake Bordelon, Sabarish Sainathan, Cengiz Pehlevan;2022
10.1162/NECO_A_01374;Shanshan Qin, Nayantara Mudur, Cengiz Pehlevan;2021
10.1109/IEEECONF53345.2021.9723137;Jacob A. Zavatone-Veth, Cengiz Pehlevan;2021
;Trenton Bricken, Cengiz Pehlevan;2021
;Abdulkadir Canatar, Blake Bordelon, Cengiz Pehlevan;2021
;Jacob A. Zavatone-Veth, Abdulkadir Canatar, Benjamin S. Ruben, Cengiz Pehlevan;2021
;Jacob A. Zavatone-Veth, Cengiz Pehlevan;2021
;Jacob A. Zavatone-Veth, Cengiz Pehlevan;2021
;Jacob A. Zavatone-Veth, Abdulkadir Canatar, Cengiz Pehlevan;2021
