doi;coo_authors
10.1007/978-3-030-35343-8_15;Shi-Jim Yen, Yi-Ling Chen, Hsin-I Lin
;Yiling Chen, Gabriella Kazai
10.1016/J.TELE.2018.03.022;Tsai-Yuan Chung, Yi-Ling Chen
10.3390/SYM9040048;Guofeng Qin, Xiaodi Huang, Yiling Chen
10.1109/LCOMM.2016.2560166;Weite Zhang, Shilie Zheng, Yiling Chen, Xiaofeng Jin, Hao Chi, Xianmin Zhang
;Ming Yin, Yiling Chen
;Beatrice Liem, Haoqi Zhang, Yiling Chen
10.1109/SMI.2008.4548004;Yi-Ling Chen, Xiang Zhang
10.1109/ICSMC.2007.4413826;Wen-Chih Peng, Wangling Huang, Yiling Chen, PeiChing Liao
10.1007/S11192-005-0235-X;Ming-Yueh Tsay, Yi-ling Chen
10.1609/AIMAG.V24I2.1710;Yiling Chen, Isaac G. Councill
10.3390/A15080255;Anna L. Trella, Kelly W. Zhang, Inbal Nahum-Shani, Vivek Shetty, Finale Doshi-Velez, Susan A. Murphy
10.1038/S41746-022-00708-4;Kristine Zhang, Henry Wang, Jianzhun Du, Brian Chu, Aldo Arévalo, Ryan Kindle, Leo Anthony Celi, Finale Doshi-Velez
10.18653/V1/2022.SPNLP-1.5;Jeffrey Chiu, Rajat Mittal, Neehal Tumma, Abhishek Sharma, Finale Doshi-Velez
10.1145/3514094.3534198;Harvineet Singh, Shalmali Joshi, Finale Doshi-Velez, Himabindu Lakkaraju
;Beau Coker, Wessel P. Bruinsma, David R. Burt, Weiwei Pan, Finale Doshi-Velez
;Ramtin Keramati, Omer Gottesman, Leo Anthony Celi, Finale Doshi-Velez, Emma Brunskill
;Q. Vera Liao, Yunfeng Zhang, Ronny Luss, Finale Doshi-Velez, Amit Dhurandhar
;Yaniv Yacoby, Ben Green 0004, Christopher L. Griffin, Finale Doshi-Velez
;Carissa Wu, Sonali Parbhoo, Marton Havasi, Finale Doshi-Velez
;Sonali Parbhoo, Shalmali Joshi, Finale Doshi-Velez
;Beau Coker, Wessel P. Bruinsma, David R. Burt, Weiwei Pan, Finale Doshi-Velez
10.48550/ARXIV.2204.03208;Jeffrey Chiu, Rajat Mittal, Neehal Tumma, Abhishek Sharma, Finale Doshi-Velez
10.48550/ARXIV.2205.05424;Yaniv Yacoby, Ben Green 0004, Christopher L. Griffin, Finale Doshi-Velez
10.48550/ARXIV.2206.03944;Anna L. Trella, Kelly W. Zhang, Inbal Nahum-Shani, Vivek Shetty, Finale Doshi-Velez, Susan A. Murphy
10.48550/ARXIV.2206.10847;Q. Vera Liao, Yunfeng Zhang, Ronny Luss, Finale Doshi-Velez, Amit Dhurandhar
10.48550/ARXIV.2207.06269;Jiayu Yao, Sonali Parbhoo, Weiwei Pan, Finale Doshi-Velez
10.48550/ARXIV.2208.00250;Kelly W. Zhang, Omer Gottesman, Finale Doshi-Velez
